time (s)	det(V)
1394.177525	-1.656980	
1394.179526	-1.657080	
1394.181525	-1.657137	
1394.183525	-1.657135	
1394.185524	-1.657163	
1394.187525	-1.657166	
1394.189525	-1.657231	
1394.191525	-1.657322	
1394.193525	-1.657235	
1394.195524	-1.657248	
1394.199525	-1.657285	
1394.201525	-1.657255	
1394.203525	-1.657331	
1394.205525	-1.657226	
1394.207525	-1.657276	
1394.209525	-1.657237	
1394.211525	-1.657218	
1394.213524	-1.657310	
1394.215525	-1.657207	
1394.217525	-1.657215	
1394.219525	-1.657241	
1394.223525	-1.657173	
1394.225525	-1.657257	
1394.227525	-1.657285	
1394.229525	-1.657187	
1394.231525	-1.657149	
1394.235524	-1.657054	
1394.237525	-1.656602	
1394.239525	-1.656361	
1394.243525	-1.656137	
1394.245525	-1.655666	
1394.247524	-1.655464	
1394.249525	-1.560260	
1394.251525	-1.370753	
1394.255524	-1.186594	
1394.259525	-0.813322	
1394.261525	-0.433243	
1394.263525	-0.234576	
1394.265525	-0.045728	
1394.267525	0.146937	
1394.269525	0.340012	
1394.271525	0.514761	
1394.273525	0.702857	
1394.275525	0.891246	
1394.277525	1.075728	
1394.279524	1.260555	
1394.283525	1.442325	
1394.285525	1.605901	
1394.287525	1.605951	
1394.289525	1.605885	
1394.291525	1.605896	
1394.295524	1.605928	
1394.297525	1.606063	
1394.299525	1.605928	
1394.303525	1.605981	
1394.305525	1.605962	
1394.307524	1.605955	
1394.309525	1.605913	
1394.311525	1.605933	
1394.313526	1.605919	
1394.317526	1.605958	
1394.321525	1.605950	
1394.323525	1.606010	
1394.325524	1.606001	
1394.327526	1.605974	
1394.329526	1.605988	
1394.333524	1.605947	
1394.335525	1.606010	
1394.337525	1.605989	
1394.339525	1.605977	
1394.341527	1.605999	
1394.343524	1.605917	
1394.345525	1.605948	
1394.347525	1.605906	
1394.349525	1.605917	
1394.353525	1.605922	
1394.355525	1.605997	
1394.357525	1.606008	
1394.359525	1.605963	
1394.361525	1.606023	
1394.363525	1.605947	
1394.365525	1.605978	
1394.367525	1.605921	
1394.369525	1.605963	
1394.373524	1.605951	
1394.375525	1.605927	
1394.379525	1.595652	
1394.381526	1.419954	
1394.383524	1.329705	
1394.385525	1.246737	
1394.387525	1.163660	
1394.391525	1.088935	
1394.393525	0.934900	
1394.395525	0.870584	
1394.399525	0.807229	
1394.401525	0.702675	
1394.403525	0.650553	
1394.405525	0.599793	
1394.407525	0.556327	
1394.409525	0.514333	
1394.413525	0.470756	
1394.417525	0.401998	
1394.419525	0.349946	
1394.421525	0.317663	
1394.423526	0.294051	
1394.425525	0.271101	
1394.429524	0.245664	
1394.431525	0.204139	
1394.433524	0.183954	
1394.435525	0.170331	
1394.437525	0.155497	
1394.439525	0.143652	
1394.441525	0.134031	
1394.443524	0.117955	
1394.445525	0.107992	
1394.449524	0.099530	
1394.451524	0.074164	
1394.453524	0.065375	
1394.455525	0.055664	
1394.457525	0.054746	
1394.459525	0.049626	
1394.461525	0.044075	
1394.463525	0.039760	
1394.465525	0.035155	
1394.467525	0.028558	
1394.471525	0.024465	
1394.475525	0.010926	
1394.477528	0.005423	
1394.479524	0.007637	
1394.481524	0.004335	
1394.483525	0.001764	
1394.487524	0.003175	
1394.489525	-0.008794	
1394.491525	-0.010550	
1394.495525	-0.015407	
1394.497526	-0.009240	
1394.499525	-0.009295	
1394.501525	-0.009814	
1394.503524	-0.012083	
1394.505525	-0.014635	
1394.509525	-0.018586	
1394.513525	-0.023238	
1394.515525	-0.014805	
1394.517526	-0.014451	
1394.519524	-0.013417	
1394.521524	-0.020206	
1394.525524	-0.016320	
1394.527525	-0.026720	
1394.529525	-0.021501	
1394.531525	-0.023965	
1394.533526	-0.022591	
1394.535525	-0.015637	
1394.537525	-0.017205	
1394.539525	-0.018364	
1394.541526	-0.018802	
1394.545524	-0.020310	
1394.547524	-0.022776	
1394.549525	-0.026500	
1394.551526	-0.025174	
1394.553525	-0.020197	
1394.555525	-0.020883	
1394.557524	-0.018406	
1394.559525	-0.020390	
1394.561525	-0.019505	
1394.565524	-0.015900	
1394.569524	-0.025400	
1394.571525	-0.026261	
1394.573525	-0.017244	
1394.575524	-0.019626	
1394.577525	-0.020927	
1394.579525	-0.016660	
1394.583524	-0.017123	
1394.585524	-0.021671	
1394.587524	-0.025413	
1394.591525	-0.022906	
1394.593525	-0.020398	
1394.595525	-0.015835	
1394.597526	-0.013925	
1394.599525	-0.017024	
1394.601525	-0.013316	
1394.605525	-0.019706	
1394.609525	-0.020789	
1394.611525	-0.019076	
1394.613525	-0.011182	
1394.615524	-0.014395	
1394.617524	-0.013006	
1394.621524	-0.010582	
1394.623525	-0.019415	
1394.625525	-0.018649	
1394.629525	-0.023581	
1394.631525	-0.011268	
1394.633525	-0.013768	
1394.635525	-0.011829	
1394.637525	-0.013346	
1394.639525	-0.011595	
1394.643525	-0.015842	
1394.647525	-0.015491	
